,step,psnr,message_bits_str_initial,bit_accuracy,p_value,message_bits_str_recovered,detection_successful
0,-1,inf,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.51171875,0.0,['1011011110110000011010101011000001011001000011010100000000010011110000110111100010110101110010101000001111000110010100101100001101010110101111001100100011001101100010100010001110001110100100001001010010001101010001010110100101000000001011000101011010000101'],False
1,0,31.68439347812095,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.546875,0.0,['1000001110101000001110101010100000011001010110010100100000110011001010110100100010010000011001000000001101000010000101101101011111010111100001101100100011100101100110100001001000001110000101011011100010000100000101011110111100011010011011010000101010101111'],False
2,10,31.152942353891362,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.68359375,0.0,['1110011110010001011010101000100101001001011010010110000010010011001011100111100110100001010001111000001011000010000111110100111111010101101010001110100000000010100100101000011110001110001101110011100011001000000100011010101000011010011001010000101010001110'],False
3,20,30.72373103642146,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.765625,0.0,['1000010100010001010010110001100001001000001110010100110011010011001001101011101101110001011011101000011011100000000101100001101011010011111011000110100001000101000100111000011010001000000101011111000011001100001001011011110000000010011001010001101010001100'],True
4,30,30.48064478004218,0101010100010001010010110001110100100000001100111110110011010011000101001010111111100010010111101000001011110010110111110101101111011001011110001011000000110101010100101000011011001000011111111111000001001100001001011010110000001010011000011000100111001100,0.83203125,0.0,['1000010100010001010110110001110001100000001100111101110011010011001001111011110111000001011111101000001011010010000101100101011001011010011010000111000001100101000100101000011010001000011101111111000011001100001001011010110000001010011001010000101110001110'],True
